productid,country,company,cost,estimatedTime,tracked
32868589524,GH,AliExpress Standard Shipping,5.41 USD,32-50 days,false
32868589524,GH,EMS,52.14 USD,17-27 days,true
32868589524,GH,DHL,99.45 USD,10-23 days,true
32868589524,VA,China Post Registered Air Mail,2.21 USD,20-40 days,false
32868589524,VA,AliExpress Standard Shipping,5.19 USD,20-40 days,false
32868589524,HK,ePacket,0 USD,20-35 days,false
32868589524,HK,AliExpress Standard Shipping,4.41 USD,15-25 days,true
32868589524,HK,EMS,15.23 USD,8-20 days,true
32868589524,HK,DHL,26.11 USD,7-15 days,false
32868589524,GA,China Post Registered Air Mail,2.21 USD,25-55 days,false
32868589524,GA,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,GA,EMS,52.14 USD,7-15 days,true
32868589524,GA,DHL,99.45 USD,7-15 days,true
32868589524,TF,AliExpress Standard Shipping,5.41 USD,20-40 days,true
32868589524,HU,China Post Registered Air Mail,0 USD,20-31 days,true
32868589524,HU,AliExpress Standard Shipping,5.12 USD,19-27 days,true
32868589524,HU,ePacket,5.19 USD,20-35 days,true
32868589524,HU,EMS,39.24 USD,16-27 days,true
32868589524,HU,DHL,51.82 USD,9-18 days,true
32868589524,PF,China Post Registered Air Mail,2.07 USD,46-60 days,false
32868589524,PF,AliExpress Standard Shipping,4.93 USD,29-47 days,false
32868589524,GP,China Post Registered Air Mail,2.31 USD,25-44 days,true
32868589524,GP,AliExpress Standard Shipping,5.41 USD,23-37 days,true
32868589524,GP,DHL,99.45 USD,10-19 days,true
32868589524,HN,China Post Registered Air Mail,2.21 USD,46-60 days,false
32868589524,HN,AliExpress Standard Shipping,5.41 USD,44-60 days,false
32868589524,HN,DHL,99.45 USD,7-15 days,true
32868589524,GT,China Post Registered Air Mail,2.21 USD,52-60 days,false
32868589524,GT,DHL,99.45 USD,13-23 days,true
32868589524,KI,China Post Registered Air Mail,2.21 USD,20-40 days,false
32868589524,KI,AliExpress Standard Shipping,4.93 USD,20-40 days,false
32868589524,KI,DHL,99.45 USD,7-15 days,true
32868589524,KP,China Post Registered Air Mail,2.01 USD,20-40 days,true
32868589524,KP,AliExpress Standard Shipping,4.93 USD,20-40 days,true
32868589524,KP,EMS,21.08 USD,7-15 days,true
32868589524,KP,DHL,99.45 USD,7-15 days,true
